price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,no_of_flat
42000000.0,Cozy Home,1026.75,west,4.0,4.0,1.0,3.0,4.0,13.0,fully-furnished,3.0
39000000.0,Dhapakhel ,1540.12,east,6.0,5.0,2.0,3.0,4.0,20.0,semi-furnished,3.0
52500000.0,Hattiban Housing,1625.68,east-north,4.0,3.0,1.0,2.5,4.0,26.0,fully-furnished,2.5
70000000.0,Dhumbarahi,2053.5,south,6.0,3.0,2.0,4.0,4.0,13.0,fully-furnished,4.0
77500000.0,Dholahiti Lalitpur,3508.06,east-north,5.0,4.0,1.0,2.5,5.0,13.0,semi-furnished,2.5
65000000.0,Green Hill City,1882.37,south,5.0,5.0,3.0,3.0,4.0,20.0,fully-furnished,3.0
23500000.0,Naya Basti,1048.14,south,5.0,3.0,2.0,3.0,2.0,11.0,semi-furnished,3.0
70000000.0,Dreamz Homez Colony,1967.93,east-north,4.0,4.0,2.0,2.5,3.0,16.0,semi-furnished,2.5
22000000.0,Bajradham Colony,1283.43,east,6.0,6.0,2.0,3.0,3.0,13.0,semi-furnished,3.0
62500000.0,Hepali Heights,2053.5,south,4.0,4.0,1.0,3.0,3.0,16.0,semi-furnished,3.0
59000000.0,Dhapakhel Height,3058.85,south,6.0,7.0,2.0,3.0,5.0,20.0,fully-furnished,3.0
80000000.0,"Basundhara, Kathmandu",2738.0,east,8.0,4.0,2.0,3.0,6.0,26.0,semi-furnished,3.0
33000000.0,"Balkot, Bhaktapur",1155.09,east,6.0,5.0,2.0,3.0,3.0,13.0,fully-furnished,3.0
80000000.0,Hepali Height,2802.17,east,9.0,7.0,2.0,3.5,5.0,13.0,semi-furnished,3.5
29800000.0,"Imadol, Krishna Mandir",1369.0,west,5.0,3.0,2.0,2.5,6.0,13.0,semi-furnished,2.5
34500000.0,Near Down Town Residency,1197.87,north,5.0,4.0,2.0,3.0,3.0,16.0,semi-furnished,3.0
27500000.0,Samakhushi,855.625,east,4.0,4.0,3.0,4.0,3.0,16.0,semi-furnished,4.0
37500000.0,Imadol,1454.56,west,7.0,5.0,2.0,3.5,4.0,20.0,semi-furnished,3.5
45000000.0,Bhaisepati,1540.12,west,4.0,3.0,2.0,2.5,4.0,13.0,fully-furnished,2.5
41000000.0,Binayak Colony,1369.0,north,4.0,3.0,2.0,2.5,3.0,16.0,fully-furnished,2.5
28000000.0,Sudarsan Height,1197.87,south-west,5.0,4.0,2.0,2.5,3.0,14.0,semi-furnished,2.5
40000000.0,Chakku Mandir House,1026.75,north,4.0,4.0,1.0,2.5,4.0,12.0,fully-furnished,2.5
35500000.0,Manmohan hospital,1369.0,south,5.0,3.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
65000000.0,Syuchatar,3080.25,south-west,6.0,5.0,2.0,3.5,5.0,13.0,fully-furnished,3.5
21000000.0,"Shital height, Imadol",1026.75,north-west,6.0,5.0,2.0,2.5,3.0,15.0,fully-furnished,2.5
50000000.0,Bhaisepati,1796.81,east,4.0,3.0,2.0,2.5,4.0,13.0,fully-furnished,2.5
42500000.0,"Shital height, Imadol",1475.95,north,6.0,5.0,2.0,3.5,4.0,16.0,fully-furnished,3.5
32500000.0,Paiyutar,1326.21,east-south,6.0,4.0,2.0,2.5,3.0,14.0,semi-furnished,2.5
21000000.0,"Lubhu, Lalitpur",1112.31,east,5.0,4.0,2.0,2.5,3.0,13.0,semi-furnished,2.5
92500000.0,"Bakhundol, Lalitpur",2738.0,north,4.0,3.0,2.0,3.0,3.0,13.0,semi-furnished,3.0
12500000.0,Sudal,855.62,north,4.0,2.0,0.0,1.0,1.0,6.0,semi-furnished,1.0
27500000.0,Setipakha,1112.31,south-west,5.0,4.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
67500000.0,"Budhanilkantha, Kathmandu",4449.25,east,5.0,4.0,2.0,2.5,5.0,13.0,semi-furnished,2.5
130000000.0,"Pasikot, Budhanilkantha",6160.5,north,4.0,4.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
170000000.0,Near Talim Kendra,6502.75,north,3.0,3.0,1.0,2.5,10.0,16.0,semi-furnished,2.5
26500000.0,Shital Height,941.18,south,5.0,4.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
31000000.0,"Budhanilkantha, Kathmandu",1540.12,north,6.0,6.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
27000000.0,"Sanagaun, Lalitpur",1112.31,south,5.0,4.0,1.0,3.5,4.0,13.0,fully-furnished,3.5
29000000.0,Ochu Height,1155.09,east,6.0,5.0,2.0,2.5,4.0,13.0,fully-furnished,2.5
135000000.0,Hattigauda,5476.0,east,5.0,8.0,2.0,2.5,7.0,13.0,fully-furnished,2.5
55000000.0,"Bhaisepati, Lalitpur",1711.25,south,6.0,4.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
39500000.0,Bhangal,1497.34,south-west,6.0,3.0,2.0,3.0,3.0,13.0,fully-furnished,3.0
115000000.0,Sukedhara,4107.0,east,5.0,4.0,2.0,2.5,7.0,14.0,semi-furnished,2.5
26900000.0,Nakkhu,1197.87,north,5.0,5.0,2.0,2.5,4.0,16.0,semi-furnished,2.5
26000000.0,Dhalmal,855.62,south,6.0,5.0,2.0,3.0,2.0,13.0,semi-furnished,3.0
23000000.0,"Tikathali, Lalitpur",1069.53,east,6.0,4.0,1.0,2.5,4.0,13.0,semi-furnished,2.5
38500000.0,Ochu Height,1283.43,west,6.0,4.0,1.0,2.5,4.0,13.0,fully-furnished,2.5
55000000.0,Imadol,1711.25,west,5.0,4.0,2.0,3.5,3.0,13.0,fully-furnished,3.5
35000000.0,Setipakha,1197.87,east-south,7.0,6.0,2.0,3.5,4.0,13.0,fully-furnished,3.5
24500000.0,"Shital height, Imadol",1026.75,east,4.0,3.0,2.0,2.5,3.0,13.0,semi-furnished,2.5
75000000.0,Mantri Marga,2395.75,east-south,5.0,6.0,2.0,2.5,6.0,13.0,semi-furnished,2.5
55000000.0,"Bhaisepati, Lalitpur",1711.25,south,5.0,6.0,2.0,2.5,4.0,13.0,semi-furnished,2.5
42500000.0,"Shital height, Imadol",1475.95,north,6.0,5.0,1.0,3.5,4.0,13.0,fully-furnished,3.5
45000000.0,Near Ganesh chowk,1625.68,east,5.0,5.0,1.0,2.5,4.0,20.0,semi-furnished,2.5
